,N°,Departamento,Provincia,Ubigeo distrital_x,Distrito,UBIG_TAM,UBIGEO_CCP,UBIGEO_DIS,DISTRITO,CCPP,LOCAL DE DISTRIBUCIÓN DE BIENES,"Casos de neumonías 
(< a 5 años)","Defunciones por neumonías
(< a 5 años)",Frecuencia de heladas (días/mes),Incidencia de Pobreza,Nivel de Riesgo MINSA,Población de 60 años a más,Población menor a 5 años,Porc. viviendas según el material utilizado para cocinar ,Tasa de Analfabetismo,"Tasa de Desnutrición Crónica
(< a 5 años)","Tasa de mortalidad 
(< a 5 años)","Tasa de neumonías
(< a 5 años)",Total del distrito,T° Mínima P10 (°C),"T° Mínima P5
 (°C)",Ubigeo distrital_y,Valor del IDS
10,11,PUNO,EL COLLAO,210505,CONDURIRI,2105020001,2105020001,210502,CAPAZO,CAPAZO,TAMBO CAPAZO,0,0,20 a 31 dias,54.49,ALTO,616,392,93.2384341637,16.2838382721,10.8,0,0,4418,-14 a -11,,210505,0.035
11,12,PUNO,EL COLLAO,210501,ILAVE,2105010022,2105010022,210501,ILAVE,CAMICACHI,TAMBO CAMICACHI,7,0,20 a 31 dias,36.75,MEDIO,6178,5044,68.7136702455,14.383307457,11.7,0,1.37713948456,58210,-14 a -11,,210501,0.0548
12,13,PUNO,EL COLLAO,210504,SANTA ROSA,2105010022,2105010022,210501,ILAVE,CAMICACHI,TAMBO CAMICACHI,0,0,20 a 31 dias,63.47,ALTO,866,794,82.7420324714,16.410987854,16,0,0,7822,-20 a -14,,210504,0.035
13,14,PUNO,HUANCANE,210602,COJATA,2106060001,2106060001,210606,ROSASPATA,ROSASPATA,TAMBO ROSASPATA,0,0,20 a 31 dias,60.24,ALTO,434,513,73.0447987851,12.0826158524,26.7,0,0,4346,-14 a -11,,210602,0.035
14,15,PUNO,HUANCANE,210603,HUATASANI,2106060001,2106060001,210606,ROSASPATA,ROSASPATA,TAMBO ROSASPATA,0,0,20 a 31 dias,44,ALTO,689,538,96.2188254224,20.4842605591,21.5,0,0,5475,-14 a -11,,210603,0.035
15,16,PUNO,HUANCANE,210604,INCHUPALLA,2106060001,2106060001,210606,ROSASPATA,ROSASPATA,TAMBO ROSASPATA,0,0,20 a 31 dias,65.51,MUY ALTO,503,326,98.609823911,20.3365383148,22.4,0,0,3331,-14 a -11,,210604,0.035
16,17,PUNO,HUANCANE,210605,PUSI,2106060001,2106060001,210606,ROSASPATA,ROSASPATA,TAMBO ROSASPATA,0,0,20 a 31 dias,49.37,ALTO,876,601,96.2328767123,19.8302955627,19.8,0,0,6366,-11 a -5,,210605,0.035
17,18,PUNO,HUANCANE,210606,ROSASPATA,2106060001,2106060001,210606,ROSASPATA,ROSASPATA,TAMBO ROSASPATA,1,0,20 a 31 dias,62.51,ALTO,1001,521,95.5916473318,22.228843689,22.6,0,1.92307692308,5188,-11 a -5,,210606,0.0548
18,19,PUNO,HUANCANE,210608,VILQUE CHICO,2106080025,2106080025,210608,VILQUE CHICO,CATAHUI,TAMBO CATAHUI,0,0,20 a 31 dias,57.28,MUY ALTO,2044,776,96.7653341471,26.9237155914,22,0,0,8343,-11 a -5,,210608,0.035
19,20,PUNO,LAMPA,210703,CALAPUJA,2107050216,2107050216,210705,OCUVIRI,PARINA,TAMBO PARINA,1,1,20 a 31 dias,59.21,MUY ALTO,232,132,94.0414507772,16.3658237457,12.1,7.57575757576,7.57575757576,1481,-14 a -11,,210703,0.3572
20,21,PUNO,LAMPA,210701,LAMPA,2107050216,2107050216,210705,OCUVIRI,PARINA,TAMBO PARINA,28,2,20 a 31 dias,35.79,MUY ALTO,1491,943,83.1218274112,10.4461946487,17.2,2.09205020921,29.2887029289,10331,-14 a -11,,210701,0.503
21,22,PUNO,LAMPA,210704,NICASIO,2107050216,2107050216,210705,OCUVIRI,PARINA,TAMBO PARINA,1,0,20 a 31 dias,47.28,ALTO,323,288,96.8023255814,11.4195585251,13.1,0,3.43642611684,2675,-14 a -11,,210704,0.0944
22,23,PUNO,LAMPA,210705,OCUVIRI,2107050216,2107050216,210705,OCUVIRI,PARINA,TAMBO PARINA,0,0,20 a 31 dias,50.06,ALTO,262,328,77.1004942339,9.9141292572,30.7,0,0,3136,-20 a -14,,210705,0.035
23,24,PUNO,LAMPA,210706,PALCA,2107060006,2107060006,210706,PALCA,"CHULLUNQUIANI (CALA
CALA)",TAMBO CHULLUNQUIANI,0,0,20 a 31 dias,51.23,ALTO,246,257,96.7989756722,8.74704456329,28.8,0,0,2849,-20 a -14,,210706,0.035
24,25,PUNO,LAMPA,210707,PARATIA,2107070002,2107070002,210707,PARATIA,QUILLISANI,TAMBO QUILLISANI,0,0,20 a 31 dias,57.66,ALTO,611,768,86.1072902338,3.01899600029,30,0,0,9181,-20 a -14,,210707,0.035
25,26,PUNO,LAMPA,210710,VILAVILA,2107100020,2107100020,210710,VILAVILA,CHIVAY,TAMBO PARCIALIDAD DE CHIVAY,0,0,20 a 31 dias,36.58,ALTO,214,443,89.7993311037,6.85185194016,21.6,0,0,4263,-20 a -14,,210710,0.035
26,27,PUNO,MELGAR,210802,ANTAUTA,2108010048,2108010048,210801,AYAVIRI,TOCOTOCO,TAMBO TOCCO TOCCO,0,0,20 a 31 dias,61.6,ALTO,405,492,81.5396700707,16.2133140564,26.4,0,0,4458,-14 a -11,,210802,0.035
27,28,PUNO,MELGAR,210801,AYAVIRI,2108010048,2108010048,210801,AYAVIRI,TOCOTOCO,TAMBO TOCCO TOCCO,8,0,20 a 31 dias,34.21,ALTO,1834,2148,40.3677462888,9.78453922272,16.5,0,3.66972477064,22367,-20 a -14,,210801,0.0944
28,29,PUNO,MELGAR,210803,CUPI,2108030021,2108030021,210803,CUPI,CORANI,TAMBO CORANI,0,0,20 a 31 dias,43.65,ALTO,309,414,93.2004689332,9.1694355011,21.5,0,0,3377,-20 a -14,,210803,0.035
29,30,PUNO,MELGAR,210804,LLALLI,2108030021,2108030021,210803,CUPI,CORANI,TAMBO CORANI,0,0,20 a 31 dias,45.89,ALTO,441,466,92.4855491329,13.5632181168,26.2,0,0,4835,-14 a -11,,210804,0.035
31,32,PUNO,MELGAR,210807,ORURILLO,2108060063,2108060063,210806,NUÑOA,ANANSAYA PUNA,TAMBO ANANSAYA PUNA,0,0,20 a 31 dias,52.76,ALTO,1340,1269,97.1303805365,16.9230766296,19.6,0,0,10852,-14 a -11,,210807,0.035
32,33,PUNO,MELGAR,210808,SANTA ROSA,2108080055,2108080055,210808,SANTA ROSA,BUENA VISTA,TAMBO BUENA VISTA,2,1,20 a 31 dias,64.64,MUY ALTO,746,911,93.65,13.9797067642,23.2,1.09051254089,2.18102508179,7396,-20 a -14,,210808,0.1844
33,34,PUNO,MELGAR,210809,UMACHIRI,2108080055,2108080055,210808,SANTA ROSA,BUENA VISTA,TAMBO BUENA VISTA,0,0,20 a 31 dias,32.97,ALTO,460,476,89.7727272727,11.0636482239,17.9,0,0,4422,-14 a -11,,210809,0.035
34,35,PUNO,SAN ANTONIO DE PUTINA,211003,PEDRO VILCA APAZA,2110030001,2110030001,211003,"PEDRO VILCA
APAZA",AYRAMPUNI,TAMBO TUPAC AMARU AYRAMPUNI,0,0,20 a 31 dias,46.81,ALTO,480,256,96.0182025028,28.7262878418,17.7,0,0,2978,-14 a -11,,211003,0.035
35,36,PUNO,SAN ANTONIO DE PUTINA,211004,QUILCAPUNCU,2110030001,2110030001,211003,"PEDRO VILCA
APAZA",AYRAMPUNI,TAMBO TUPAC AMARU AYRAMPUNI,2,0,20 a 31 dias,65.34,ALTO,559,681,93.74584165,14.776307106,22.3,0,2.886002886,5806,-14 a -11,,211004,0.0944
36,37,APURIMAC,ABANCAY,30103,CIRCA,301030002,301030002,30103,CIRCA,YACA,TAMBO YACA,0,0,5 a 10 dias,40.43,MEDIO,418,248,98.789346247,21.9097824097,20,0,0,2506,-14 a -11,,030103,0.035
37,38,APURIMAC,ABANCAY,30106,LAMBRAMA,301030002,301030002,30103,CIRCA,YACA,TAMBO YACA,2,0,5 a 10 dias,67.48,MEDIO,598,488,96.2457337884,36.3947525024,24.8,0,4.0899795501,5558,-14 a -11,,030106,0.17
38,39,APURIMAC,ANTABAMBA,30301,ANTABAMBA,303010016,303010016,30301,ANTABAMBA,CULLCUNCHINI,TAMBO CULLCUNCHINI,1,0,5 a 10 dias,71.23,ALTO,453,355,88.9635316699,21.6551036835,33.8,0,2.79329608939,3166,-14 a -11,,030301,0.0944
39,40,APURIMAC,ANTABAMBA,30304,JUAN ESPINOZA MEDRANO,303040016,303040016,30304,"JUAN ESPINOZA
MEDRANO",CALCAUSO,TAMBO CALCAUSO,0,0,5 a 10 dias,59.3,ALTO,326,241,93.5045317221,21.9547767639,35.4,0,0,2049,-14 a -11,,030304,0.035
40,41,APURIMAC,ANTABAMBA,30305,OROPESA,303040016,303040016,30304,"JUAN ESPINOZA
MEDRANO",CALCAUSO,TAMBO CALCAUSO,0,0,10 a 20 dias,66.62,ALTO,283,409,90.0149031297,22.3569030762,32.1,0,0,3113,-14 a -11,,030305,0.035
41,42,APURIMAC,ANTABAMBA,30307,SABAINO,303070033,303070033,30307,SABAINO,ANTILLA,TAMBO ANTILLA,0,0,5 a 10 dias,66.63,ALTO,255,188,97.5257731959,16.8058452606,29.3,0,0,1653,-14 a -11,,030307,0.035
42,43,APURIMAC,COTABAMBAS,30506,CHALLHUAHUACHO,305060051,305060051,30506,CHALLHUAHUACHO,CHOCCOYO,TAMBO CHOCCOLLO,1,0,10 a 20 dias,77.43,ALTO,672,1358,70.1626712329,24.0513496399,24.8,0,0.733675715334,9933,-14 a -11,,030506,0.0548
43,44,APURIMAC,COTABAMBAS,30504,HAQUIRA,305060051,305060051,30506,CHALLHUAHUACHO,CHOCCOYO,TAMBO CHOCCOLLO,2,0,20 a 31 dias,79.06,ALTO,1064,1471,91.3580246914,25.2496871948,35.7,0,1.35226504395,11833,-14 a -11,,030504,0.0548
44,45,APURIMAC,COTABAMBAS,30505,MARA,305060051,305060051,30506,CHALLHUAHUACHO,CHOCCOYO,TAMBO CHOCCOLLO,2,0,10 a 20 dias,67.88,MUY ALTO,631,822,91.9204474829,28.2658958435,33.2,0,2.42130750605,6693,-11 a -5,,030505,0.0944
45,46,AREQUIPA,CAYLLOMA,40516,TAPAY,405190002,405190002,40519,YANQUE,CHALHUANCA,TAMBO CHALHUANCA,0,0,10 a 20 dias,54.72,ALTO,132,54,95.2662721893,24.5508975983,11.1,0,0,531,-20 a -14,,040516,0.035
46,47,AREQUIPA,CAYLLOMA,40519,YANQUE,405190002,405190002,40519,YANQUE,CHALHUANCA,TAMBO CHALHUANCA,0,0,20 a 31 dias,35.74,ALTO,354,147,59.8092643052,13.7548894882,21.2,0,0,2112,-20 a -14,,040519,0.035
47,48,AREQUIPA,CAYLLOMA,40509,ICHUPAMPA,405190002,405190002,40519,YANQUE,CHALHUANCA,TAMBO CHALHUANCA,0,0,20 a 31 dias,28.15,MEDIO,119,53,56.8,17.5257740021,16.7,0,0,652,-20 a -14,,040509,0.035
48,49,AREQUIPA,CAYLLOMA,40510,LARI,405190002,405190002,40519,YANQUE,CHALHUANCA,TAMBO CHALHUANCA,0,0,20 a 31 dias,30.89,ALTO,247,140,75.350140056,18.1347141266,24.3,0,0,1528,-20 a -14,,040510,0.035
49,50,AREQUIPA,CAYLLOMA,40514,SAN ANTONIO DE CHUCA,405140174,405140174,40514,SAN ANTONIO DE CHUCA,CHUCA,TAMBO SAN ANTONIO DE CHUCA,3,0,20 a 31 dias,65.19,MUY ALTO,215,156,78.1737193764,12.5301208496,28.2,0,19.2307692308,1561,-20 a -14,,040514,0.3158
50,51,AREQUIPA,CAYLLOMA,40515,SIBAYO,405170001,405170001,40517,TISCO,TISCO,TAMBO TISCO,0,0,20 a 31 dias,41.26,ALTO,94,66,63.6363636364,12.801484108,29.5,0,0,661,-14 a -11,,040515,0.035
51,52,AREQUIPA,CAYLLOMA,40504,CALLALLI,405170001,405170001,40517,TISCO,TISCO,TAMBO TISCO,1,0,20 a 31 dias,44.18,ALTO,343,135,64.4017725258,13.3184528351,25.5,0,6.84931506849,1946,-20 a -14,,040504,0.17
52,53,AREQUIPA,CAYLLOMA,40517,TISCO,405170001,405170001,40517,TISCO,TISCO,TAMBO TISCO,0,0,20 a 31 dias,52.55,ALTO,225,149,93.5331230284,12.4386253357,38.7,0,0,1409,-20 a -14,,040517,0.035
53,54,AREQUIPA,CAYLLOMA,40518,TUTI,405170001,405170001,40517,TISCO,TISCO,TAMBO TISCO,0,0,20 a 31 dias,22.90852,ALTO,116,80,81.2903225806,22.5092258453,20.4,0,0,744,-20 a -14,,040518,0.035
54,55,AREQUIPA,CONDESUYOS,40603,CAYARANI,406030010,406030010,40603,CAYARANI,VISCA VISCA,TAMBO VISCA VISCA,16,0,10 a 20 dias,73.62,MUY ALTO,209,356,88.4678747941,23.8480186462,30.1,0,43.7158469945,3085,-14 a -11,,040603,0.3158
55,56,AREQUIPA,CONDESUYOS,40607,SALAMANCA,406030010,406030010,40603,CAYARANI,VISCA VISCA,TAMBO VISCA VISCA,0,0,5 a 10 dias,39.93,ALTO,199,80,86.6013071895,25.6410255432,38.1,0,0,855,-14 a -11,,040607,0.035
56,57,AYACUCHO,CANGALLO,50205,PARAS,502050030,502050030,50205,PARAS,SANTA CRUZ DE HOSPICIO,TAMBO SANTA CRUZ DE HOSPICIO,0,0,10 a 20 dias,80.14,ALTO,434,594,93.5916542474,24.5827541351,40.3,0,0,4582,-14 a -11,,050205,0.035
58,59,AYACUCHO,SUCRE,50906,MORCOLLA,509050015,509050015,50905,HUACAÑA,ALUZPAMPA,TAMBO SANTA ALUZPAMPA,0,0,5 a 10 dias,64.13,ALTO,150,113,100,20.875421524,40.1,0,0,1050,-14 a -11,,050906,0.035
59,60,CUSCO,ANTA,80305,HUAROCONDO,803050020,803050020,80305,HUAROCONDO,HUAYLLACOCHA,TAMBO HUAYLLACOCHA,0,0,10 a 20 dias,38.6,ALTO,708,510,95.2347582341,19.6960487366,21.4,0,0,5803,-14 a -11,,080305,0.035
60,61,CUSCO,CANAS,80502,CHECCA,805020010,805020010,80502,CHECCA,ANANSAYA,TAMBO ANANSAYA,1,0,20 a 31 dias,43.66,ALTO,718,739,97.1112476951,19.2997207642,21.9,0,1.35135135135,6292,-14 a -11,,080502,0.0548
61,62,CUSCO,CANAS,80503,KUNTURKANKI,805030005,805030005,80503,KUNTURKANKI,PUMATHALLA,TAMBO SAUSAYA,0,0,20 a 31 dias,43.84,ALTO,740,541,88.4715025907,15.8261976242,31,0,0,5745,-14 a -11,,080503,0.035
62,63,CUSCO,CANAS,80504,LANGUI,805040040,805040040,80504,LANGUI,CCAYA,TAMBO PAYAPUNKU,0,0,20 a 31 dias,27.04,ALTO,372,244,93.7007874016,19.6979236603,28.6,0,0,2510,-14 a -11,,080504,0.035
63,64,CUSCO,CANAS,80505,LAYO,805040040,805040040,80504,LANGUI,CCAYA,TAMBO PAYAPUNKU,4,0,20 a 31 dias,36.41,MUY ALTO,752,700,95.5747126437,12.9799356461,32.5,0,5.73888091822,6373,-20 a -14,,080505,0.17
64,65,CUSCO,CANAS,80506,PAMPAMARCA,805040040,805040040,80504,LANGUI,CCAYA,TAMBO PAYAPUNKU,2,0,20 a 31 dias,36.5,MUY ALTO,277,201,87.4226804124,20.4170284271,14.6,0,10.101010101,2034,-11 a -5,,080506,0.3158
65,66,CUSCO,CANAS,80507,QUEHUE,805070011,805070011,80507,QUEHUE,PERCCARO,TAMBO PERCCARO,3,0,20 a 31 dias,57.11,ALTO,391,407,96.5707964602,16.127374649,23.5,0,7.22891566265,3582,-14 a -11,,080507,0.17
66,67,CUSCO,CANAS,80508,TUPAC AMARU,805080016,805080016,80508,TUPAC AMARU,CCOTANA,TAMBO URAY AYLLU,1,0,20 a 31 dias,56.74,ALTO,344,298,96.4240102171,30.4004516602,23.4,0,3.43642611684,2906,-11 a -5,,080508,0.0944
67,68,CUSCO,CANAS,80501,YANAOCA,805080016,805080016,80508,TUPAC AMARU,CCOTANA,TAMBO URAY AYLLU,2,0,20 a 31 dias,48.79,ALTO,1288,1084,83.2275971451,16.8691196442,29.9,0,1.86393289842,10049,-14 a -11,,080501,0.0548
68,69,CUSCO,CANCHIS,80603,COMBAPATA,806030013,806030013,80603,COMBAPATA,CULLCUIRE,TAMBO CULLCUIRE,6,0,10 a 20 dias,33.4,MUY ALTO,564,464,82.2988505747,21.0003204346,25.7,0,12.9310344828,5398,-14 a -11,,080603,0.3158
69,70,CUSCO,CANCHIS,80604,MARANGANI,806030013,806030013,80603,COMBAPATA,CULLCUIRE,TAMBO CULLCUIRE,0,0,20 a 31 dias,25.95,ALTO,1506,1016,88.8644688645,15.9953126907,23.2,0,0,11195,-20 a -14,,080604,0.035
70,71,CUSCO,CANCHIS,80605,PITUMARCA,806030013,806030013,80603,COMBAPATA,CULLCUIRE,TAMBO CULLCUIRE,0,0,10 a 20 dias,50.57,ALTO,893,841,90.3254569773,23.6723861694,34.9,0,0,7541,-20 a -14,,080605,0.035
71,72,CUSCO,CANCHIS,80601,SICUANI,806030013,806030013,80603,COMBAPATA,CULLCUIRE,TAMBO CULLCUIRE,82,0,20 a 31 dias,23.07,MUY ALTO,5969,5452,45.3799392097,10.6569948196,21.5,0,15.1599186541,60363,-20 a -14,,080601,0.3158
72,73,CUSCO,CHUMBIVILCAS,80702,CAPACMARCA,807030015,807030015,80703,CHAMACA,"CONCHACCOLLO
CENTRO",TAMBO CCONCHA CCOLLO,0,0,10 a 20 dias,65.54,ALTO,589,448,95.3620829943,27.8434276581,32,0,0,4596,-11 a -5,,080702,0.035
73,74,CUSCO,CHUMBIVILCAS,80703,CHAMACA,807030015,807030015,80703,CHAMACA,"CONCHACCOLLO
CENTRO",TAMBO CCONCHA CCOLLO,0,0,20 a 31 dias,54.26,ALTO,859,1042,90.4329235703,21.5434074402,29.7,0,0,8894,-14 a -11,,080703,0.035
74,75,CUSCO,CHUMBIVILCAS,80704,COLQUEMARCA,807040003,807040003,80704,COLQUEMARCA,YANQUE,TAMBO YANQUE LACCA LACCA,2,0,10 a 20 dias,41.74,ALTO,1078,881,88.9679715302,25.3442420959,32.3,0,2.26244343891,8582,-14 a -11,,080704,0.0944
75,76,CUSCO,CHUMBIVILCAS,80705,LIVITACA,807050031,807050031,80705,LIVITACA,QQUECHAQUEHUINCHA,TAMBO QUEHUINCHA,3,0,20 a 31 dias,51.84,ALTO,1425,1719,93.949044586,20.2629184723,34.8,0,1.74723354688,13406,-14 a -11,,080705,0.0548
76,77,CUSCO,CHUMBIVILCAS,80706,LLUSCO,807050031,807050031,80705,LIVITACA,QQUECHAQUEHUINCHA,TAMBO QUEHUINCHA,0,0,20 a 31 dias,60.76,ALTO,861,833,97.1153846154,31.7275753021,32.5,0,0,7100,-14 a -11,,080706,0.035
78,79,CUSCO,CHUMBIVILCAS,80701,SANTO TOMAS,807010004,807010004,80701,SANTO TOMAS,MELLOTOTORA,TAMBO MELLOTOTORA COLCA,14,1,20 a 31 dias,37.67,ALTO,2884,2847,77.2906403941,21.6655826569,28.6,0.352609308886,4.9365303244,26707,-14 a -11,,080701,0.2096
79,80,CUSCO,CHUMBIVILCAS,80708,VELILLE,807080008,807080008,80708,VELILLE,AYACCASI,TAMBO AYACCASI,0,0,20 a 31 dias,38.13,ALTO,1022,917,78.1516375056,18.6828212738,28,0,0,8514,-14 a -11,,080708,0.035
80,81,CUSCO,ESPINAR,80808,ALTO PICHIGUA,808030019,808030019,80803,COPORAQUE,"SANTA ROSA
HUAYHUASI",TAMBO HUAYHUAHUASI,0,0,20 a 31 dias,34.41,ALTO,525,306,94.8916408669,22.1709003448,32.2,0,0,3147,-14 a -11,,080808,0.035
81,82,CUSCO,ESPINAR,80802,CONDOROMA,808030019,808030019,80803,COPORAQUE,"SANTA ROSA
HUAYHUASI",TAMBO HUAYHUAHUASI,0,0,20 a 31 dias,46.47,ALTO,175,121,70.2637889688,12.2147655487,33,0,0,1412,-20 a -14,,080802,0.035
82,83,CUSCO,ESPINAR,80803,COPORAQUE,808030019,808030019,80803,COPORAQUE,"SANTA ROSA
HUAYHUASI",TAMBO HUAYHUAHUASI,3,1,20 a 31 dias,25.07,MUY ALTO,2058,2047,96.9714285714,17.4538249969,35.1,0.488758553275,1.46627565982,17877,-14 a -11,,080803,0.0944
83,84,CUSCO,ESPINAR,80801,ESPINAR,808070083,808070083,80807,SUYCKUTAMBO,ESCALERA,TAMBO ESCALERAYOC,10,0,20 a 31 dias,22.89,ALTO,2561,3186,27.9810298103,6.90038585663,22.9,0,3.15756236186,33520,-14 a -11,,080801,0.0944
84,85,CUSCO,ESPINAR,80804,OCORURO,808070083,808070083,80807,SUYCKUTAMBO,ESCALERA,TAMBO ESCALERAYOC,0,0,20 a 31 dias,39.87,ALTO,255,132,90.5,13.1081085205,31.3,0,0,1593,-14 a -11,,080804,0.035
85,86,CUSCO,ESPINAR,80805,PALLPATA,808070083,808070083,80807,SUYCKUTAMBO,ESCALERA,TAMBO ESCALERAYOC,0,0,20 a 31 dias,45.47,ALTO,717,520,72.3479490806,13.4243841171,28,0,0,5552,-14 a -11,,080805,0.035
86,87,CUSCO,ESPINAR,80806,PICHIGUA,808070083,808070083,80807,SUYCKUTAMBO,ESCALERA,TAMBO ESCALERAYOC,0,0,20 a 31 dias,48.98,ALTO,532,287,95.1865222623,20.5411376953,24.7,0,0,3607,-14 a -11,,080806,0.035
87,88,CUSCO,ESPINAR,80807,SUYCKUTAMBO,808070083,808070083,80807,SUYCKUTAMBO,ESCALERA,TAMBO ESCALERAYOC,1,1,20 a 31 dias,39.74,MUY ALTO,300,275,93.3143669986,19.5569629669,47.4,3.61010830325,3.61010830325,2767,-14 a -11,,080807,0.2816
88,89,CUSCO,QUISPICANCHI,81204,CCARHUAYO,812040010,812040010,81204,CCARHUAYO,ANCCASI,TAMBO ANCASSI,1,0,5 a 10 dias,60.84,ALTO,283,436,94.2815249267,21.7971019745,34.8,0,2.34741784038,3143,-14 a -11,,081204,0.0944
89,90,CUSCO,QUISPICANCHI,81209,MARCAPATA,812040010,812040010,81204,CCARHUAYO,ANCCASI,TAMBO ANCASSI,5,0,5 a 10 dias,68.12,ALTO,580,564,92.6589077887,22.8979587555,39.2,0,8.97666068223,4512,-14 a -11,,081209,0.3158
90,91,CUSCO,QUISPICANCHI,81212,QUIQUIJANA,812120033,812120033,81212,QUIQUIJANA,HUACAYTAQUI,TAMBO HUACCAYTAQUI,9,2,10 a 20 dias,58.28,ALTO,1304,1059,91.2698412698,28.0342445374,34.1,1.52671755725,6.87022900763,11002,-14 a -11,,081212,0.3572
91,92,HUANCAVELICA,CASTROVIRREYNA,90401,CASTROVIRREYNA,904010058,904010058,90401,CASTROVIRREYNA,COCHA,TAMBO SAN ISIDRO DE COCHA,0,0,10 a 20 dias,40.76,MEDIO,240,452,60.6811145511,15.178571701,39.1,0,0,3245,-14 a -11,,090401,0.035
92,93,HUANCAVELICA,CASTROVIRREYNA,90406,COCAS,904010058,904010058,90401,CASTROVIRREYNA,COCHA,TAMBO SAN ISIDRO DE COCHA,1,0,10 a 20 dias,51.62,ALTO,83,145,96.2406015038,23.7089195251,38.4,0,6.94444444444,911,-11 a -5,,090406,0.17
93,94,HUANCAVELICA,CASTROVIRREYNA,90409,MOLLEPAMPA,904010058,904010058,90401,CASTROVIRREYNA,COCHA,TAMBO SAN ISIDRO DE COCHA,0,0,10 a 20 dias,58.86,MEDIO,184,191,89.7727272727,12.0418844223,30.7,0,0,1672,-11 a -5,,090409,0.035
94,95,HUANCAVELICA,CASTROVIRREYNA,90411,SANTA ANA,904110033,904110033,90411,SANTA ANA,PUCAPAMPA,TAMBO PUCAPAMPA,0,0,10 a 20 dias,42.98,MEDIO,93,137,38.2521489971,9.26118659973,58.8,0,0,2168,-14 a -11,,090411,0.035
95,96,HUANCAVELICA,HUANCAVELICA,90106,HUACHOCOLPA,901060001,901060001,90106,HUACHOCOLPA,HUACHOCOLPA,TAMBO HUACHOCOLPA,1,0,10 a 20 dias,42.47,ALTO,118,427,38.2765531062,15.1549291611,42.6,0,2.30414746544,2875,-14 a -11,,090106,0.0944
